Respondent ID,Respondant Zip Code,Urban or Rural Re-scaled,Age,Gender,Ethnicity,Income Re-scaled,Education Re-scaled,Household size Re-scaled,Marital,Employment Simple,Elections: I think elections are fair and reliable Re-scaled,"Elections: During the last (2022) election, I voted:",Elections: I understand the term 'democracy' to mean:,Elections: How would you define the political system in which you live? ,Political System Oppinions: Which of these two political systems do you think is the most effective and functional for making complex decisions? ,Political System Oppinions: Which of these two political systems would you prefer to live in?,Economic Instability Re-scaled,Energy Crisis Re-scaled,Climate Change Re-scaled,Lack of Natural Resources Re-scaled,Militarty Conflicts Re-scaled,Interstate Conflicts Re-scaled,Employment and Livelihood Re-scaled,Infectious Disease Re-scaled,AI Re-scaled,Cybersecurity Re-scaled,Crisis Composit Score,Systems Thinking Score,Trust Score,Conspiracy,Complexity,Openness,Conscienciousness,Extroversion,Agreeableness,Neuroticism
2057,86335,0,58,Other,Other,1,2,1,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,1,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.6000000000000001,0.26666666666666666,0.5,0.6666666666666666,0.0,0.0,0.5
2059,85014,1,70,Male,White/Caucasian,7,4,1,Seperated,Employed Part-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,1,1,0,1,1,1,0,1,1,1,4,0.5,0.16666665000000003,0.5333333333333334,0.2,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.33333333333333337
2060,85147,0,20,Female,Native American,1,2,5,Single,Unemployed,2,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,1,1,2,2,0,1,2,2,1,1,7,0.5,0.583333325,0.26666666666666666,0.3333333333333333,0.6666666666666666,0.7222222222222222,0.611111111111111,0.5,0.611111111111111
2061,85301,1,62,Male,Hispanic,4,3,1,Seperated,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Neither,3,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.7333333333333334,0.3333333333333333,0.33333333333333337,0.7222222222222222,0.16666666666666666,0.5,0.0
2062,85308,1,43,Female,White/Caucasian,4,5,4,Seperated,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,1,0,0,2,3,0,1,0,6,0.7777777777777777,0.333333325,0.46666666666666673,0.6000000000000001,0.8333333333333334,0.7222222222222222,0.33333333333333337,0.8333333333333334,0.5
2064,0,1,59,Male,Hispanic,2,3,1,Single,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,2,2,1,1,1,3,0,1,6,0.6388888888888888,0.75,0.26666666666666666,0.6666666666666667,0.9444444444444445,0.4444444444444444,0.22222222222222218,0.7222222222222222,0.8333333333333334
2065,85009,1,46,Female,White/Caucasian,2,4,4,Single,Other,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,2,3,1,2,2,1,3,2,3,3,12,0.3055555555555555,0.5,0.5333333333333334,0.39999999999999997,0.6666666666666666,0.5,0.611111111111111,0.5555555555555556,0.5
2067,85718,1,71,Female,White/Caucasian,5,6,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,0,1,0,0,0,0,0,0,0,0,0.6944444444444444,1.0,0.2,0.8666666666666667,0.7777777777777778,0.9999999999999999,0.7777777777777778,0.9444444444444445,0.0
2068,85383,1,72,Male,White/Caucasian,7,5,1,Single,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,3,0,0,1,0,0,1,0,0,1,0.5833333333333333,0.583333325,0.39999999999999997,0.2,0.611111111111111,0.888888888888889,0.611111111111111,0.611111111111111,0.22222222222222218
2070,85041,1,35,Female,White/Caucasian,8,5,4,Seperated,Employed Full-time,0,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,3,3,3,2,0,1,2,2,0,0,5,0.7777777777777777,0.25,0.2,0.7333333333333334,0.8333333333333334,0.8333333333333334,0.7222222222222222,0.9444444444444445,0.2777777777777778
2073,85382,1,56,Male,White/Caucasian,8,3,2,Married or Partnered,Retired,1,Did not vote,That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,1,2,0,0,1,1,1,2,0,0,4,0.611111111111111,0.333333325,0.2,0.46666666666666673,0.5,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.38888888888888895
2074,85298,0,43,Female,White/Caucasian,7,5,5,Married or Partnered,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,1,2,2,1,2,1,2,2,8,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.5,0.611111111111111,0.5,0.4444444444444444,0.5555555555555556
2076,85234,1,55,Female,White/Caucasian,6,5,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,3,3,0,2,0,2,0,0,4,0.7777777777777777,0.416666675,0.0,0.8,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.888888888888889,0.22222222222222218
2078,85714,1,39,Female,Hispanic,5,5,4,Seperated,Employed Full-time,0,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,2,2,2,1,0,1,0,3,0,3,7,1.0,0.25,0.2,0.8,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.611111111111111
2080,0,1,59,Female,White/Caucasian,4,5,2,Married or Partnered,Unemployed,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,1,0,0,0,0,1,1,0,0,2,0.7777777777777777,0.833333375,0.0,0.7333333333333334,0.33333333333333337,0.7222222222222222,0.05555555555555555,0.9999999999999999,0.2777777777777778
2081,85334,0,69,Female,White/Caucasian,2,3,2,Married or Partnered,Retired,0,Republican (Opposing Party),That there is no great gap between rich and poor,Democracy,Democracy,Democracy,3,3,0,1,0,1,0,1,0,0,2,0.6666666666666666,0.833333375,0.6666666666666667,0.26666666666666666,0.7777777777777778,0.9444444444444445,0.7777777777777778,0.8333333333333334,0.4444444444444444
2082,85710,1,68,Female,White/Caucasian,2,3,1,Single,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,2,2,1,0,0,1,0,0,0,1,0.7777777777777777,0.833333375,0.2,0.8666666666666667,0.8333333333333334,0.7222222222222222,0.5,0.888888888888889,0.38888888888888895
2083,85345,1,66,Female,White/Caucasian,7,5,2,Married or Partnered,Employed Part-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,0,0,1,1,0,1,3,1,1,6,0.7777777777777777,0.5,0.06666666666666671,0.5333333333333334,0.8333333333333334,0.7222222222222222,0.6666666666666666,0.33333333333333337,0.7777777777777778
2087,85143,0,64,Female,White/Caucasian,4,2,3,Seperated,Retired,3,Did not vote,That there is a well-functioning social system,Democracy,Democracy,Democracy,2,2,1,1,1,1,1,1,2,1,6,0.4444444444444444,0.583333325,0.26666666666666666,0.46666666666666673,0.5,0.9999999999999999,0.2777777777777778,0.9999999999999999,0.22222222222222218
2088,85225,1,65,Female,White/Caucasian,3,2,2,Seperated,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,0,0,0,0,0,0,0,0,0,0.611111111111111,0.75,0.0,0.5333333333333334,0.5555555555555556,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.16666666666666666
2089,85041,0,47,Male,Hispanic,4,2,4,Seperated,Employed Full-time,0,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,2,1,1,1,1,1,2,0,3,7,0.6944444444444444,0.5,0.3333333333333333,0.5333333333333334,0.9999999999999999,0.888888888888889,0.8333333333333334,0.7777777777777778,0.2777777777777778
2090,85296,0,33,Female,Black/African-American,7,4,2,Married or Partnered,Employed Full-time,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,0,0,0,0,1,1,1,0,0,3,0.7222222222222222,0.583333325,0.5333333333333334,0.39999999999999997,0.6666666666666666,0.9444444444444445,0.33333333333333337,0.888888888888889,0.22222222222222218
2091,85748,0,38,Female,White/Caucasian,8,3,4,Single,Employed Full-time,0,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,1,1,1,1,2,2,1,2,8,0.9444444444444444,0.5,0.2,0.6000000000000001,0.5555555555555556,0.8333333333333334,0.7777777777777778,0.38888888888888895,0.7777777777777778
2092,85210,1,41,Female,White/Caucasian,3,3,3,Single,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,3,1,2,0,3,2,3,1,1,10,0.9166666666666666,0.583333325,0.8666666666666667,0.26666666666666666,0.9999999999999999,0.888888888888889,0.7222222222222222,0.9444444444444445,0.16666666666666666
2093,85032,1,39,Male,White/Caucasian,2,4,6,Married or Partnered,Employed Part-time,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Neither,2,3,0,0,2,1,3,1,2,2,9,0.5277777777777778,0.5,0.7333333333333334,0.46666666666666673,0.7222222222222222,0.6666666666666666,0.611111111111111,0.6666666666666666,0.7777777777777778
2094,86409,1,40,Male,White/Caucasian,4,4,4,Single,Unemployed,2,Did not vote,That there is a well-functioning social system,Autocracy,Neither,Neither,1,1,1,1,1,1,1,1,1,1,5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.38888888888888895,0.611111111111111,0.4444444444444444,0.5,0.5
2095,86322,0,74,Male,White/Caucasian,7,3,2,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Autocracy,Democracy,3,3,0,0,0,0,0,1,0,0,1,0.7222222222222222,0.583333325,0.06666666666666671,0.39999999999999997,0.38888888888888895,0.9999999999999999,0.8333333333333334,0.611111111111111,0.33333333333333337
2096,85383,1,73,Male,White/Caucasian,8,5,2,Married or Partnered,Retired,3,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,0,3,2,2,0,1,0,1,0,2,0.9166666666666666,1.0,0.2,0.6000000000000001,0.7777777777777778,0.7222222222222222,0.8333333333333334,0.9999999999999999,0.6666666666666666
2097,85051,1,27,Male,White/Caucasian,4,2,4,Single,Unemployed,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,2,1,2,2,2,2,1,9,0.7777777777777777,0.583333325,0.06666666666666671,0.8,0.888888888888889,0.6666666666666666,0.7777777777777778,0.5555555555555556,0.4444444444444444
2098,85283,1,70,Female,White/Caucasian,3,4,3,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,3,2,2,3,1,2,3,11,0.611111111111111,0.666666675,0.2,0.9333333333333333,0.5555555555555556,0.6666666666666666,0.8333333333333334,0.9999999999999999,0.6666666666666666
2099,86406,0,64,Female,White/Caucasian,2,5,5,Married or Partnered,Retired,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Neither,Neither,3,3,0,2,1,2,0,1,0,0,3,0.4722222222222222,0.5,0.5333333333333334,0.13333333333333336,0.9999999999999999,0.7777777777777778,0.888888888888889,0.611111111111111,0.611111111111111
2100,85249,0,54,Male,White/Caucasian,4,6,5,Seperated,Employed Full-time,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,2,2,1,2,3,1,3,1,1,2,8,0.5555555555555556,0.5,0.39999999999999997,0.3333333333333333,0.4444444444444444,0.8333333333333334,0.2777777777777778,0.611111111111111,0.22222222222222218
2104,85710,1,52,Female,White/Caucasian,4,2,6,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,3,1,2,0,0,3,2,2,2,2,11,0.7222222222222222,0.333333325,0.0,0.46666666666666673,0.7222222222222222,0.7777777777777778,0.5555555555555556,0.5555555555555556,0.38888888888888895
2106,85224,1,23,Female,White/Caucasian,1,5,1,Single,Employed Full-time,0,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,0,1,0,1,3,2,1,1,8,0.8333333333333333,0.75,0.6666666666666667,0.3333333333333333,0.611111111111111,0.7222222222222222,0.9999999999999999,0.7777777777777778,0.9444444444444445
2107,85234,1,22,Female,White/Caucasian,7,5,4,Single,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,2,2,2,2,1,2,2,3,2,1,10,0.75,0.583333325,0.26666666666666666,0.8666666666666667,0.5,0.9444444444444445,0.38888888888888895,0.8333333333333334,0.7222222222222222
2108,85209,1,33,Male,White/Caucasian,6,5,1,Single,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,1,2,0,0,0,0,1,0,1,2,0.75,0.16666665000000003,0.0,0.6000000000000001,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.5555555555555556,0.611111111111111
2109,85037,1,35,Male,Hispanic,6,2,2,Single,Employed Full-time,0,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Autocracy,Autocracy,Autocracy,2,2,3,2,2,1,1,2,2,2,8,0.5,0.16666665000000003,0.26666666666666666,0.5333333333333334,0.5,0.5555555555555556,0.2777777777777778,0.5555555555555556,0.5555555555555556
2111,85023,1,42,Female,White/Caucasian,5,3,2,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,3,0,0,0,0,1,3,1,0,0,5,0.6944444444444444,0.5,0.39999999999999997,0.39999999999999997,0.611111111111111,0.8333333333333334,0.33333333333333337,0.8333333333333334,0.2777777777777778
2112,85756,1,68,Male,White/Caucasian,7,4,2,Married or Partnered,Retired,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Autocracy,Democracy,2,2,1,0,1,0,0,2,0,2,4,0.6388888888888888,0.666666675,0.0,0.6000000000000001,0.6666666666666666,0.7777777777777778,0.8333333333333334,0.7222222222222222,0.38888888888888895
2113,85086,1,40,Female,White/Caucasian,5,6,3,Single,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,2,1,1,1,1,1,1,1,1,1,5,0.7222222222222222,0.583333325,0.26666666666666666,0.6000000000000001,0.5,0.7777777777777778,0.8333333333333334,0.7777777777777778,0.611111111111111
2114,85339,1,79,Male,White/Caucasian,7,6,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,0,0,0,0,0,0,0,0,0,0,0.611111111111111,0.833333375,0.0,0.6000000000000001,0.4444444444444444,0.7222222222222222,0.4444444444444444,0.611111111111111,0.2777777777777778
2115,85353,1,44,Female,Hispanic,2,2,4,Single,Employed Full-time,0,Did not vote,That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,1,2,2,1,9,0.5277777777777778,0.333333325,0.39999999999999997,0.3333333333333333,0.5,0.611111111111111,0.38888888888888895,0.5555555555555556,0.4444444444444444
2116,85250,1,36,Female,White/Caucasian,8,6,4,Married or Partnered,Employed Full-time,3,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Autocracy,Autocracy,2,1,2,1,1,1,2,2,1,1,7,0.75,0.5,0.13333333333333336,0.6000000000000001,0.9999999999999999,0.9999999999999999,0.7222222222222222,0.6666666666666666,0.4444444444444444
2117,85119,0,36,Female,White/Caucasian,1,2,2,Widowed,Unemployed,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Neither,Neither,3,3,3,3,3,3,3,3,3,3,15,1.0,0.666666675,0.39999999999999997,0.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.9999999999999999
2118,85043,0,32,Female,Hispanic,4,2,6,Married or Partnered,Other,2,Did not vote,That there is a well-functioning social system,Autocracy,Neither,Neither,3,3,3,2,2,3,2,3,2,1,11,0.75,0.666666675,0.2,0.6666666666666667,0.8333333333333334,0.611111111111111,0.5,0.611111111111111,0.611111111111111
2121,85375,1,69,Male,White/Caucasian,8,6,1,Seperated,Employed Part-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,2,2,0,1,1,0,2,1,1,2,6,0.9444444444444444,0.5,0.26666666666666666,0.39999999999999997,0.6666666666666666,0.9999999999999999,0.5,0.8333333333333334,0.05555555555555555
2122,86403,0,57,Female,White/Caucasian,8,3,1,Single,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Neither,Democracy,3,3,0,0,2,2,0,0,0,0,2,0.6388888888888888,0.583333325,0.39999999999999997,0.2,0.611111111111111,0.9444444444444445,0.5555555555555556,0.5555555555555556,0.4444444444444444
2124,85022,1,57,Male,Black/African-American,4,2,3,Married or Partnered,Retired,1,Republican (Opposing Party),That there is a well-functioning social system,Autocracy,Autocracy,Autocracy,2,2,1,1,2,2,3,0,1,2,8,0.05555555555555555,0.5,0.3333333333333333,0.26666666666666666,0.5,0.611111111111111,0.5,0.6666666666666666,0.33333333333333337
2125,85013,1,29,Female,Native American,3,3,1,Single,Employed Full-time,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,3,1,2,1,1,2,3,2,1,1,9,0.7777777777777777,0.5,0.0,0.8666666666666667,0.9444444444444445,0.5555555555555556,0.16666666666666666,0.611111111111111,0.611111111111111
2126,85213,1,69,Male,White/Caucasian,8,5,2,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That there is a well-functioning social system,Autocracy,Democracy,Democracy,3,3,1,1,2,3,1,2,0,1,7,0.8055555555555555,0.416666675,0.39999999999999997,0.26666666666666666,0.7222222222222222,0.7777777777777778,0.888888888888889,0.5555555555555556,0.4444444444444444
2127,85748,1,64,Female,White/Caucasian,2,2,3,Married or Partnered,Retired,0,Republican (Opposing Party),That there is a well-functioning social system,Autocracy,Neither,Neither,3,1,0,1,2,2,0,1,0,1,4,0.6388888888888888,0.583333325,0.39999999999999997,0.5333333333333334,0.2777777777777778,0.5,0.5555555555555556,0.8333333333333334,0.4444444444444444
2129,85928,0,48,Female,Hispanic,4,4,3,Married or Partnered,Unemployed,3,Did not vote,That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,3,0,2,1,0,0,0,1,2,0.8333333333333333,0.833333375,0.0,0.6666666666666667,0.7777777777777778,0.888888888888889,0.5,0.888888888888889,0.5
2130,85308,1,30,Female,White/Caucasian,5,2,5,Married or Partnered,Unemployed,0,Did not vote,That there is no great gap between rich and poor,Democracy,Neither,Neither,3,3,0,3,0,0,3,1,0,0,4,0.5555555555555556,0.583333325,0.5333333333333334,0.2,0.38888888888888895,0.7222222222222222,0.611111111111111,0.8333333333333334,0.5555555555555556
2131,85210,1,56,Male,White/Caucasian,3,4,1,Seperated,Employed Full-time,2,Republican (Opposing Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,2,2,2,1,3,2,3,0,3,11,0.6944444444444444,0.833333375,0.13333333333333336,0.6000000000000001,0.5555555555555556,0.9999999999999999,0.5555555555555556,0.9999999999999999,0.11111111111111113
2132,85301,0,56,Male,White/Caucasian,1,2,1,Widowed,Unemployed,0,Republican (Opposing Party),That there is no great gap between rich and poor,Autocracy,Neither,Neither,3,3,0,3,3,3,3,3,0,3,12,0.6666666666666666,0.666666675,0.5333333333333334,0.6000000000000001,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.4444444444444444
2133,85374,1,40,Female,White/Caucasian,5,5,3,Married or Partnered,Employed Full-time,1,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Democracy,3,2,2,2,1,1,3,2,1,2,9,0.6944444444444444,0.5,0.5333333333333334,0.5333333333333334,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7222222222222222,0.5
2134,0,1,28,Male,Native American,1,2,5,Married or Partnered,Unemployed,0,Did not vote,That there is a well-functioning social system,Democracy,Neither,Neither,2,2,2,2,2,2,2,2,2,2,10,0.5,0.583333325,0.6000000000000001,0.8666666666666667,0.5,0.5,0.5555555555555556,0.5,0.5
2136,85032,1,44,Male,White/Caucasian,5,5,1,Single,Employed Full-time,1,Republican (Opposing Party),That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,2,1,2,1,2,1,2,1,2,8,0.7777777777777777,0.5,0.26666666666666666,0.46666666666666673,0.5555555555555556,0.611111111111111,0.16666666666666666,0.888888888888889,0.5
2138,85757,0,43,Female,Hispanic,4,2,1,Single,Employed Full-time,1,Republican (Opposing Party),That there is a well-functioning social system,Autocracy,Autocracy,Autocracy,0,0,3,2,3,2,2,2,1,3,10,0.6666666666666666,0.333333325,0.39999999999999997,0.26666666666666666,0.9999999999999999,0.9999999999999999,0.7777777777777778,0.9999999999999999,0.33333333333333337
2141,85323,1,37,Male,Asian,6,5,5,Single,Employed Part-time,0,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Autocracy,Democracy,Autocracy,2,0,0,2,0,0,2,0,3,2,7,0.75,0.333333325,0.8,0.2,0.5,0.611111111111111,0.38888888888888895,0.6666666666666666,0.5555555555555556
2143,85233,1,23,Male,Asian,8,5,3,Single,Unemployed,1,Did not vote,That there is no great gap between rich and poor,Democracy,Democracy,Democracy,2,2,2,2,2,3,3,2,2,2,12,0.75,0.5,0.39999999999999997,0.6666666666666667,0.9444444444444445,0.611111111111111,0.5555555555555556,0.6666666666666666,0.611111111111111
2144,0,1,70,Female,White/Caucasian,8,6,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,2,3,1,0,0,1,1,1,1,4,0.861111111111111,0.666666675,0.2,0.6666666666666667,0.7777777777777778,0.888888888888889,0.16666666666666666,0.7222222222222222,0.38888888888888895
2145,85331,1,64,Female,White/Caucasian,9,3,3,Married or Partnered,Retired,2,Republican (Opposing Party),That there is a well-functioning social system,Democracy,Democracy,Democracy,2,1,2,1,1,1,1,2,1,2,7,0.6388888888888888,0.583333325,0.39999999999999997,0.7333333333333334,0.7777777777777778,0.7222222222222222,0.6666666666666666,0.5555555555555556,0.5
2147,85234,0,70,Female,White/Caucasian,9,5,4,Widowed,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,3,2,3,2,2,2,0,1,7,0.9722222222222222,0.5,0.0,0.8,0.33333333333333337,0.9999999999999999,0.888888888888889,0.9999999999999999,0.611111111111111
2148,85085,1,52,Female,White/Caucasian,6,5,2,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,0,0,0,1,3,0,0,0,4,0.5555555555555556,0.583333325,0.06666666666666671,0.5333333333333334,0.4444444444444444,0.7777777777777778,0.6666666666666666,0.8333333333333334,0.6666666666666666
2149,85741,1,32,Female,White/Caucasian,3,6,2,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,2,0,0,0,1,1,0,3,5,0.7222222222222222,0.25,0.0,0.6666666666666667,0.888888888888889,0.5555555555555556,0.8333333333333334,0.611111111111111,0.888888888888889
2150,86404,0,49,Female,White/Caucasian,5,2,3,Widowed,Employed Full-time,0,Did not vote,That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,2,0,0,1,2,1,3,1,2,1,8,0.5277777777777778,0.416666675,0.46666666666666673,0.39999999999999997,0.33333333333333337,0.9999999999999999,0.0,0.5,0.5
2152,85302,1,40,Male,Black/African-American,2,1,2,Married or Partnered,Retired,1,Did not vote,That I can determine directly/by myself what happens in my country,Autocracy,Neither,Neither,3,3,3,2,3,2,3,2,2,3,12,0.6666666666666666,0.25,0.5333333333333334,0.39999999999999997,0.7777777777777778,0.5,0.6666666666666666,0.4444444444444444,0.9999999999999999
2154,85213,1,24,Male,White/Caucasian,7,5,2,Single,Employed Full-time,1,Did not vote,That the people elect the respective head of state in free elections,Autocracy,Democracy,Democracy,3,3,1,2,1,1,3,3,0,1,8,0.8888888888888888,0.333333325,0.6000000000000001,0.5333333333333334,0.611111111111111,0.6666666666666666,0.4444444444444444,0.888888888888889,0.4444444444444444
2156,0,0,76,Female,White/Caucasian,4,4,2,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,0,2,1,1,1,1,0,2,0,0,3,0.5555555555555556,0.75,0.2,0.6666666666666667,0.611111111111111,0.9444444444444445,0.7222222222222222,0.888888888888889,0.05555555555555555
2157,85310,1,49,Male,White/Caucasian,1,5,5,Married or Partnered,Retired,3,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Democracy,Democracy,3,3,2,3,1,1,2,2,0,2,7,0.8055555555555555,0.75,0.2,0.6666666666666667,0.5,0.7222222222222222,0.9444444444444445,0.9444444444444445,0.16666666666666666
2158,85901,0,72,Female,White/Caucasian,4,3,2,Married or Partnered,Retired,1,Republican (Opposing Party),That I can determine directly/by myself what happens in my country,Democracy,Neither,Democracy,2,2,1,1,1,1,0,1,1,3,6,0.7777777777777777,0.5,0.3333333333333333,0.5333333333333334,0.4444444444444444,0.7777777777777778,0.5,0.6666666666666666,0.33333333333333337
2159,85138,1,67,Female,White/Caucasian,7,3,3,Married or Partnered,Retired,2,Democratic (Ruling Party),That the people elect the respective head of state in free elections,Democracy,Neither,Democracy,3,1,1,0,1,1,1,1,1,1,5,0.5277777777777778,0.583333325,0.06666666666666671,0.7333333333333334,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.4444444444444444,0.6666666666666666
2160,85120,1,59,Female,White/Caucasian,1,2,2,Single,Unemployed,0,Did not vote,That I can determine directly/by myself what happens in my country,Autocracy,Autocracy,Neither,3,2,2,0,2,2,0,2,1,0,5,0.7777777777777777,0.25,0.8,0.46666666666666673,0.611111111111111,0.6666666666666666,0.5555555555555556,0.9444444444444445,0.4444444444444444
2162,85741,1,70,Female,White/Caucasian,2,6,1,Seperated,Retired,1,Democratic (Ruling Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Autocracy,Democracy,1,0,2,1,0,0,0,3,1,1,5,0.75,0.75,0.2,0.6666666666666667,0.5555555555555556,0.7222222222222222,0.611111111111111,0.888888888888889,0.4444444444444444
2165,85224,1,40,Male,White/Caucasian,3,2,4,Married or Partnered,Employed Full-time,2,Democratic (Ruling Party),That I can determine directly/by myself what happens in my country,Democracy,Democracy,Autocracy,3,3,3,2,2,3,2,2,3,3,13,0.5277777777777778,0.5,0.46666666666666673,0.46666666666666673,0.6666666666666666,0.5,0.6666666666666666,0.5,0.7222222222222222
2167,85209,1,68,Male,White/Caucasian,7,4,2,Married or Partnered,Retired,2,Republican (Opposing Party),That I have to bow to the majority opinion whether I agree or not,Democracy,Democracy,Democracy,2,1,0,0,2,0,0,0,0,0,0,0.6388888888888888,0.75,0.13333333333333336,0.39999999999999997,0.5,0.8333333333333334,0.22222222222222218,0.8333333333333334,0.6666666666666666
